Orthogroup	chimp	human	rhesus
OG0000324	SLC16A4	SLC16A14, SLC16A4	SLC16A4
OG0000325	LAMTOR5	LAMTOR5	LAMTOR5, LOC106998903
OG0000326	CEPT1	CEPT1, SELENOI	CEPT1
OG0000327	LOC457114	CHIA	CHIA, LOC703284
OG0000328	CTSE, LOC469410	CTSE	CTSE
OG0000329	CTTNBP2NL	CTTNBP2NL	CTTNBP2, CTTNBP2NL
OG0000330	ST7L	ST7L	ST7, ST7L
OG0000331	CAPZA1	CAPZA1	CAPZA1, CAPZA2
OG0000332	LOC107966245, LOC107971351	PDE4DIP	LOC106996441
OG0000333	LOC107966247, TXNIP	TXNIP	TXNIP
OG0000334	PHTF1	PHTF1	PHTF1, PHTF2
OG0000335	RSBN1	RSBN1	RSBN1, RSBN1L
OG0000336	HIPK1	HIPK1	HIPK1, HIPK2
OG0000337	LOC104002294, PKLR	PKLR	PKLR
OG0000338	DENND2C	DENND2C	DENND2A, DENND2C
OG0000339	LOC100610068, NR1I2	NR1I2	NR1I2
OG0000340	TBX15	TBX15	TBX15, TBX20
OG0000341	GJA8	GJA8	GJA8, GJC3
OG0000342	GPR89A	GPR89A, GPR89B	GPR89A
OG0000343	PDZK1	CYTIP, PDZK1	PDZK1
OG0000344	LOC742208, NVL	NVL	NVL
OG0000345	LOC746061, LOC748981		LOC703959, LOC711999
OG0000346	LOC104004283, MRPS21	MRPS21	MRPS21
OG0000347	TARS2	TARS2	MRPL39, TARS2
OG0000348	ARNT	ARNT, NPAS2	ARNT
OG0000349	LOC104002760		CYCS, LOC711309, LOC716056
OG0000350	CERS2	CERS2, CERS6	CERS2
OG0000351	SCNM1	SCNM1, TNFAIP8L2-SCNM1	SCNM1
OG0000352	ZNF687	ZNF687	LOC716177, ZNF687
OG0000353	SNX27	SNX17, SNX27	SNX27
OG0000354	LCE1D, LCE3A	LCE3A	LCE3A
OG0000355	SPRR3	SPRR3	LOC114678099, SPRR3
OG0000356	ILF2	ILF2	ILF2, LOC707106
OG0000357	CREB3L4	CREB3L4	CREB3L2, CREB3L4
OG0000358	AQP10	AQP10, LOC100509620	AQP10
OG0000359	ADAR	ADAR	ADAR, ADARB1
OG0000360	SHC1	SHC1	SH2B2, SHC1
OG0000361	CLK2	CLK1, CLK2	CLK2
OG0000362	MSTO1	MSTO1	LOC717842, LOC717923
OG0000363	LMNA	DES, LMNA	LMNA
OG0000364	SLC25A44	SLC25A44	SLC25A40, SLC25A44
OG0000365	PMF1	PMF1, PMF1-BGLAP	LOC719437
OG0000366	NTRK1	NTRK1	LMTK2, NTRK1
OG0000367	CD5L	CD5L	CD5L, SSC4D
OG0000368	CD1A	CD1A	CD1A, LOC709286
OG0000369	OR6P1	OR6P1	LOC708317, LOC719903
OG0000370	APCS	APCS	APCS, NPTX2
OG0000371	NHLH1	NHLH1, TCF23	NHLH1
OG0000372	SDHC	SDHC	LOC704336, SDHC
OG0000373	HSD17B7	HSD17B7	LOC114669997, LOC720399
OG0000374	METTL18	METTL18, METTL21A	METTL18
OG0000375	PRRX1	PRRX1	NOBOX, PRRX1
OG0000376	DARS2	DARS1, DARS2	DARS2
OG0000377	TNN	COL7A1, TNN	TNN
OG0000378	TNR	FN1, TNR	TNR
OG0000379	COP1	COP1, WDR33	COP1
OG0000380	SEC16B	CRYZL2P-SEC16B, SEC16B	LOC709635
OG0000381	CLEC20A	CLEC20A	CLEC20A, LOC114679377
OG0000382	FAM20B	FAM20B	FAM20B, FAM20C
OG0000383	B3GALT2	B3GALT1, B3GALT2	B3GALT2
OG0000384	CRB1	CRB1, SNED1	CRB1
OG0000385	DDX59	DDX18, DDX59	DDX59
OG0000386	KIF21B	DAW1, KIF21B	KIF21B
OG0000387	ASCL5	ASCL5, FIGLA	ASCL5
OG0000388	PKP1	PKP1, PKP4	PKP1
OG0000389	RNPEP	RNPEP, RNPEPL1	RNPEP
OG0000390	GPR37L1	GPR37L1	GPR37, GPR37L1
OG0000391	LOC100615656, PTPN7	PTPN7	PTPN7
OG0000392	UBE2T	UBE2T	UBE2H, UBE2T
OG0000393	LOC469140	MGAT4A	LOC705299, LOC705617
OG0000394	ADORA1	ADORA1, GPR45	ADORA1
OG0000395	BTG2	BTG2	BTG2, BTG3
OG0000396	ZC3H11A	ZC3H11A, ZC3H11B	ZC3H11A
OG0000397	REN	REN	BACE2, REN
OG0000398	NFASC	NFASC	NFASC, NRCAM
OG0000399	NUAK2	AAK1, NUAK2	NUAK2
OG0000400	IRF6	IRF6	IRF5, IRF6
OG0000401	ATF3	ATF3, FOSL2	ATF3
OG0000402	IARS2	IARS2, MARS2	IARS2
OG0000403	DUSP10	DUSP10, DUSP19	DUSP10
OG0000404	TP53BP2	TP53BP2	TP53BP2, UBASH3A
OG0000405	EPHX1	EPHX1	EPHX1, MEST
OG0000406	JMJD4	JMJD4, TYW5	JMJD4
OG0000407	TRIM11	TRIM11	TRIM11, TRIM50
OG0000408	LOC112204086, TRIM17	TRIM17	TRIM17
OG0000409	RAB4A	DNAJC27, RAB4A	RAB4A
OG0000410	GNPAT	GNPAT, GPAT2	GNPAT
OG0000411	MAP3K21	MAP3K20, MAP3K21	MAP3K21
OG0000412	ARID4B	ARID4B, ARID5A	ARID4B
OG0000413	CHRM3	CHRM3	CHRM2, CHRM3
OG0000414	MAP1LC3C	MAP1LC3C	LOC697790, MAP1LC3C
OG0000415	SMYD3	SMYD1, SMYD3	SMYD3
OG0000416	ZNF669	ZNF669	LOC100423294, ZNF669
OG0000417	OR2L13	OR2L13	LOC697921, LOC706439
OG0000418	LOC107974316	OR2M4	LOC100424541, LOC705867
OG0000419	LOC100613015, LOC469777	OR2T3, OR2T34	
OG0000420	LOC469775	OR2G6	LOC694380, LOC694771
OG0000421	CHL1	CHL1	CHL1, SDK1
OG0000422	LOC112208602, LOC460522, LOC749565	PTMA	
OG0000423	LRRN1	LRRN1	LRRN1, LRRN3
OG0000424	SUMF1	SUMF1	SUMF1, SUMF2
OG0000425	GRM7	GRM7	GRM7, GRM8
OG0000426	LMCD1	LMCD1	LMCD1, TES
OG0000427	OXTR	OXTR	NPSR1, OXTR
OG0000428	THUMPD3	THUMPD2, THUMPD3	THUMPD3
OG0000429	SETD5	SETD5	KMT2E, SETD5
OG0000430	LHFPL4	LHFPL4	LHFPL3, LHFPL4
OG0000431	BRPF1	BRPF1	BRPF1, PHF14
OG0000432	TTLL3	ARPC4-TTLL3, TTLL3	TTLL3
OG0000433	PRRT3	PRRT3	PRRT3, PRRT4
OG0000434	VHL	VHL, VHLL	VHL
OG0000435	MKRN2	MKRN2	MKRN1, MKRN2
OG0000436	RAF1	RAF1	BRAF, RAF1
OG0000437	IQSEC1	IQSEC1	CYTH3, IQSEC1
OG0000438	WNT7A	WNT10A, WNT7A	WNT7A
OG0000439	METTL6	METTL6, METTL8	METTL6
OG0000440	ANKRD28	ANKRD28, ANKRD44	ANKRD28
OG0000441	DAZL	BOLL, DAZL	DAZL
OG0000442	PLCL2	PLCL1, PLCL2	PLCL2
OG0000443	SATB1	SATB1, SATB2	SATB1
OG0000444	EFHB	EFHB, MCFD2	EFHB
OG0000445	RAB5A	RAB17, RAB5A	RAB5A
OG0000446	LOC470768	GBX2, LBX2	GBX1
OG0000447	ZNF385D	ZNF385B, ZNF385D	ZNF385D
OG0000448	RARB	NR4A2, RARB	RARB
OG0000449	LRRC3B	LRRC3B	LRRC3, LRRC3B
OG0000450	EOMES	EOMES, TBR1	EOMES
OG0000451	AZI2	AZI2, TANK	AZI2
OG0000452	RBMS3	RBMS1, RBMS3	RBMS3
OG0000453	GADL1	GAD1, GADL1	GADL1
OG0000454	GLB1	GLB1, GLB1L	GLB1
OG0000455	FBXL2	FBXL2, FBXO48	FBXL2
OG0000456	UBP1	TFCP2L1, UBP1	UBP1
OG0000457	CLASP2	CLASP1, CLASP2	CLASP2
OG0000458	ARPP21	ARPP21, R3HDM1	ARPP21
OG0000459	LRRFIP2	LRRFIP1, LRRFIP2	LRRFIP2
OG0000460	CTDSPL	CTDSP1, CTDSPL	CTDSPL
OG0000461	PLCD1	PLCD1, PLCD4	PLCD1
OG0000462	ACAA1	ACAA1, HADHB	ACAA1
OG0000463	GORASP1	GORASP1, GORASP2	GORASP1
OG0000464	TTC21A	TTC21A, TTC21B	TTC21A
OG0000465	CSRNP1	CSRNP1, CSRNP3	CSRNP1
OG0000466	XIRP1	XIRP1, XIRP2	XIRP1
OG0000467	MYRIP	MLPH, MYRIP	MYRIP
OG0000468	TRAK1	TRAK1, TRAK2	TRAK1
OG0000469	ZBTB47	ZBTB47	PRDM15, ZBTB47
OG0000470	KLHL40	KLHL40, KLHL41	KLHL40
OG0000471	ANO10	ANO10, ANO7	ANO10
OG0000472	ZNF197	ZNF197, ZNF660-ZNF197	ZNF197
OG0000473	SACM1L	SACM1L	SACM1L, SYNJ1
OG0000474	FYCO1	FYCO1, PIKFYVE	FYCO1
OG0000475	ALS2CL	ALS2, ALS2CL	ALS2CL
OG0000476	PRSS43		LOC713144, PRSS45P, PRSS46P
OG0000477	MYL3	MYL3	LOC710137, MYL3
OG0000478	PTH1R	PTH1R, PTH2R	PTH1R
OG0000479	NBEAL2	NBEAL1, NBEAL2	NBEAL2
OG0000480	KLHL18	KLHL18	KLHL18, KLHL7
OG0000481	MAP4	MAP2, MAP4	MAP4
OG0000482	UQCRC1	UQCRC1	PMPCB, UQCRC1
OG0000483	ARIH2	ARIH2	ANKIB1, ARIH2
OG0000484	IMPDH2	IMPDH2	IMPDH1, IMPDH2
OG0000485	CCDC71	CCDC71	CCDC71, CCDC71L
OG0000486	USP4	USP4	USP16, USP4
OG0000487	BSN	BSN	BSN, PCLO
OG0000488	MST1	MST1	HGF, MST1
OG0000489	MST1R	MST1R	MET, MST1R
OG0000490	CACNA2D2	CACNA2D2	CACNA2D1, CACNA2D2
OG0000491	DOCK3	DOCK3	DOCK3, DOCK4
OG0000492	GRM2	GRM2	GRM2, GRM3
OG0000493	IQCF5	IQCF5	IQCF4, IQCF5
OG0000494	DUSP7	DUSP2, DUSP7	DUSP7
OG0000495	WDR82	ATG16L1, WDR82	WDR82
OG0000496	STIMATE	STIMATE, STIMATE-MUSTN1	STIMATE
OG0000497	ASB14	ASB14	ASB14, ASB15
OG0000498	PTPRG	PTPRG	PTPRG, PTPRZ1
OG0000499	FEZF2	FEZF2	FEZF1, FEZF2
OG0000500	CADPS	CADPS	CADPS, CADPS2
OG0000501	SYNPR	SYNPR	SYNPR, SYPL1
OG0000502	ATXN7	ATXN7	ATXN7, ATXN7L1
OG0000503	KBTBD8	KBTBD8	KBTBD2, KBTBD8
OG0000504	LMOD3	LMOD3	LMOD2, LMOD3
OG0000505	MITF	MITF	MITF, TFEC
OG0000506	FOXP1	FOXP1	FOXP1, FOXP2
OG0000507	GPR27	GPR27	GPR27, GPR85
OG0000508	PDZRN3	LONRF2, PDZRN3	PDZRN3
OG0000509	ROBO1	ROBO1	NCAM2, ROBO1
OG0000510	CADM2	CADM2, GYPC	CADM2
OG0000511	POU1F1	POU1F1	POU1F1, POU6F2
OG0000512	HTR1F	HTR1F	HTR1F, HTR5A
OG0000513	LOC460532, PROS1	PROS1	PROS1
OG0000514	STX19	STX19	STX19, STX1A
OG0000515	DHFR2	DHFR2	DHFR2, LOC707382
OG0000516	DCBLD2	DCBLD2, NRP2	DCBLD2
OG0000517	DZIP3	DZIP3	DZIP3, TTC3
OG0000518	MORC1	MORC1	MORC1, MORC3
OG0000519	LSAMP	CCDC141, LSAMP	LSAMP
OG0000520	IGSF11	IGSF11	CXADR, IGSF11
OG0000521	HCLS1	HCLS1	DBNL, HCLS1
OG0000522	WDR5B	STRN, WDR5B	WDR5B
OG0000523	MYLK	MYLK, SPEGNB	MYLK
OG0000524	KALRN	KALRN, SESTD1	KALRN
OG0000525	SLC12A8	SLC12A8	SLC12A8, SLC12A9
OG0000526	TXNRD3	TXNRD3	DLD, TXNRD3
OG0000527	PODXL2	PODXL2	PODXL, PODXL2
OG0000528	RAB43	RAB43	RAB19, RAB43
OG0000529	ISY1	ISY1, ISY1-RAB43	ISY1
OG0000530	COPG1	COPG1	COPG1, COPG2
OG0000531	IFT122	IFT122	LOC114676395, LOC703060
OG0000532	RHO	RHO	OPN1SW, RHO
OG0000533	NUDT16	NUDT16	LOC717946, NUDT16
OG0000534	TOPBP1	TOPBP1	PAXIP1, TOPBP1
OG0000535	TF	TF	LOC100426895, LOC106992286
OG0000536	STAG1	STAG1	STAG1, STAG3
OG0000537	NCK1	NCK1, NCK2	NCK1
OG0000538	NME9	NME9	NME8, NME9
OG0000539	ESYT3	ESYT3	ESYT2, ESYT3
OG0000540	ZBTB38	ZBTB38	ZBTB21, ZBTB38
OG0000541	RASA2	RASA2	RASA2, RASA4B
OG0000542	PCOLCE2	PCOLCE2	PCOLCE, PCOLCE2
OG0000543	PLOD2	PLOD2	PLOD2, PLOD3
OG0000544	CPB1	CPB1, CPO	CPB1
OG0000545	TSC22D2	TSC22D2	TSC22D2, TSC22D4
OG0000546	RAP2B	RAP2B	RAP2B, RHEB
OG0000547	DHX36	DHX36, DHX57	DHX36
OG0000548	SHOX2	NOTO, SHOX2	SHOX2
OG0000549	KPNA4	KPNA4	KPNA4, KPNA7
OG0000550	PPM1L	ILKAP, PPM1L	PPM1L
OG0000551	B3GALNT1	B3GALNT1	B3GALNT1, B3GALT5
OG0000552	BCHE	BCHE	ACHE, BCHE
OG0000553	WDR49	WDR49	WDR49, WDR86
OG0000554	PIK3CA	PIK3CA	PIK3CA, PIK3CG
OG0000555	ACTL6A	ACTL6A	ACTL6A, ACTL6B
OG0000556	USP13	USP13	USP13, USP25
OG0000557	SOX2	SOX2	HBP1, SOX2
OG0000558	AP2M1	AP2M1	AP2M1, AP4M1
OG0000559	ABCF3	ABCF3	ABCF2, ABCF3
OG0000560	FAM131A	FAM131A	FAM131A, FAM131B
OG0000561	CLCN2	CLCN2	CLCN1, CLCN2
OG0000562	EHHADH	EHHADH, HADHA	EHHADH
OG0000563	LIPH	LIPH	LIPH, LIPI
OG0000564	SENP2	SENP2	LOC714066, SENP2
OG0000565	IGF2BP2	IGF2BP2	IGF2BP2, IGF2BP3
OG0000566	TRA2B	TRA2B	TRA2A, TRA2B
OG0000567	ETV5	ETV5	ETV1, ETV5
OG0000568	EIF4A2	DDX1, EIF4A2	EIF4A2
OG0000569	RFC4	RFC4	RFC2, RFC4
OG0000570	ADIPOQ	ADIPOQ, C1QL2	ADIPOQ
OG0000571	ST6GAL1	ST6GAL1, ST6GAL2	ST6GAL1
OG0000572	IL1RAP	IL18R1, IL1RAP	IL1RAP
OG0000573	HES1	HES1, HES6	HES1
OG0000574	TFRC	TFRC	TFR2, TFRC
OG0000575	BDH1	BDH1, DHRS9	BDH1
OG0000576	LRCH3	LRCH3	LRCH3, LRCH4
OG0000577		FKBP1B, FKBP7	FKBP14, FKBP9
OG0000578		PRKD3, SPEG, STK17B	STK17A
OG0000579		REG1A, REG1B, REG3A, REG3G	
OG0000580		ATOH8	BHLHA15, OLIG1, OLIG2
OG0000581		IL18RAP, IL1R1, IL1RL1, IL1RL2	
OG0000582		LIMS1, LIMS2, LIMS3, LIMS4	
OG0000583		DPP10, DPP4, FAP	DPP6
OG0000584		STEAP3	STEAP1, STEAP2, STEAP4
OG0000585		MYO1B, MYO3B, MYO7B	MYO1G
OG0000586		CD302, LY75, LY75-CD302, PLA2R1	
OG0000587		ABCB11	ABCB1, ABCB4, ABCB5
OG0000588		HECW2	HECW1, SMURF1, UBE3C
OG0000589		CRYGA, CRYGB, CRYGC, CRYGD	
OG0000590		FEV	ERG, ETS2, GABPA
OG0000591		SP100, SP110, SP140, SP140L	
OG0000592			APP, COL28A1, COL6A1, COL6A2
OG0000593			BMPER, KCP, SSPO, ZAN
OG0000594			DPY19L1, LOC106997473, LOC699789, LOC709323
OG0000595			NUP42, PARP12, ZC3HAV1, ZC3HAV1L
OG0000596			CPA1, CPA2, CPA4, CPA5
OG0000597	CPTP	CPTP	CPTP
OG0000598	TAS1R3	TAS1R3	TAS1R3
OG0000599	MXRA8	MXRA8	MXRA8
OG0000600	AURKAIP1	AURKAIP1	AURKAIP1
OG0000601	CCNL2	CCNL2	CCNL2
OG0000602	MRPL20	MRPL20	MRPL20
OG0000603	ANKRD65	ANKRD65	ANKRD65
OG0000604	TMEM240	TMEM240	TMEM240
OG0000605	SSU72	SSU72	SSU72
OG0000606	FNDC10	FNDC10	FNDC10
OG0000607	MIB2	MIB2	MIB2
OG0000608	MMP23	MMP23B	MMP23B
OG0000609	NADK	NADK	NADK
OG0000610	CALML6	CALML6	CALML6
OG0000611	TMEM52	TMEM52	TMEM52
OG0000612	GABRD	GABRD	GABRD
OG0000613	FAAP20	FAAP20	FAAP20
OG0000614	SKI	SKI	SKI
OG0000615	MORN1	MORN1	MORN1
OG0000616	RER1	RER1	RER1
OG0000617	PEX10	PEX10	PEX10
OG0000618	PLCH2	PLCH2	PLCH2
OG0000619	PANK4	PANK4	PANK4
OG0000620	HES5	HES5	HES5
OG0000621	TNFRSF14	TNFRSF14	TNFRSF14
OG0000622	FAM213B	PRXL2B	PRXL2B
OG0000623	MMEL1	MMEL1	MMEL1
OG0000624	TTC34	TTC34	TTC34
OG0000625	ACTRT2	ACTRT2	ACTRT2
OG0000626	PRDM16	PRDM16	PRDM16
OG0000627	ARHGEF16	ARHGEF16	ARHGEF16
OG0000628	MEGF6	MEGF6	LOC697150
OG0000629	TPRG1L	TPRG1L	TPRG1L
OG0000630	WRAP73	WRAP73	WRAP73
OG0000631	TP73	TP73	TP73
OG0000632	CCDC27	CCDC27	CCDC27
OG0000633	SMIM1	SMIM1	SMIM1
OG0000634	LRRC47	LRRC47	LRRC47
OG0000635	CEP104	CEP104	CEP104
OG0000636	DFFB	DFFB	DFFB
OG0000637	C1H1orf174	C1orf174	C1H1orf174
OG0000638	AJAP1	AJAP1	AJAP1
OG0000639	NPHP4	NPHP4	NPHP4
OG0000640	KCNAB2	KCNAB2	KCNAB2
OG0000641	CHD5	CHD5	CHD5
OG0000642	RPL22	RPL22	RPL22
OG0000643	RNF207	RNF207	RNF207
OG0000644	ICMT	ICMT	ICMT
OG0000645	HES3	HES3	HES3
OG0000646	GPR153	GPR153	GPR153
OG0000647	ACOT7	ACOT7	ACOT7
OG0000648	HES2	HES2	HES2
OG0000649	TNFRSF25	TNFRSF25	TNFRSF25
OG0000650	PLEKHG5	PLEKHG5	PLEKHG5
OG0000651	NOL9	NOL9	NOL9
OG0000652	TAS1R1	TAS1R1	TAS1R1
OG0000653	ZBTB48	ZBTB48	ZBTB48
OG0000654	PHF13	PHF13	PHF13
OG0000655	THAP3	THAP3	THAP3
OG0000656	DNAJC11	DNAJC11	DNAJC11
OG0000657	CAMTA1	CAMTA1	CAMTA1
OG0000658	VAMP3	VAMP3	VAMP3
OG0000659	UTS2	UTS2	UTS2
OG0000660	TNFRSF9	TNFRSF9	TNFRSF9
OG0000661	PARK7	PARK7	PARK7
OG0000662	ERRFI1	ERRFI1	ERRFI1
OG0000663	SLC45A1	SLC45A1	SLC45A1
OG0000664	RERE	RERE	RERE
OG0000665	CA6	CA6	CA6
OG0000666	SLC2A7	SLC2A7	SLC2A7
OG0000667	SLC2A5	SLC2A5	SLC2A5
OG0000668	GPR157	GPR157	GPR157
OG0000669	H6PD	H6PD	H6PD
OG0000670	SPSB1	SPSB1	SPSB1
OG0000671	SLC25A33	SLC25A33	SLC25A33
OG0000672	TMEM201	TMEM201	TMEM201
OG0000673	PIK3CD	PIK3CD	PIK3CD
OG0000674	LOC746645	FTCDNL1	LOC710638
OG0000675	CLSTN1	CLSTN1	CLSTN1
OG0000676	CTNNBIP1	CTNNBIP1	CTNNBIP1
OG0000677	LZIC	LZIC	LZIC
OG0000678	NMNAT1	NMNAT1	NMNAT1
OG0000679	RBP7	RBP7	RBP7
OG0000680	UBE4B	UBE4B	UBE4B
OG0000681	PGD	PGD	PGD
OG0000682	CORT	CORT	CORT
OG0000683	DFFA	DFFA	DFFA
OG0000684	PEX14	PEX14	PEX14
OG0000685	CASZ1	CASZ1	CASZ1
OG0000686	C1H1orf127	C1orf127	C1H1orf127
OG0000687	TARDBP	TARDBP	TARDBP
OG0000688	MASP2	MASP2	MASP2
OG0000689	SRM	SRM	SRM
OG0000690	EXOSC10	EXOSC10	EXOSC10
OG0000691	MTOR	MTOR	MTOR
OG0000692	UBIAD1	UBIAD1	UBIAD1
OG0000693	DISP3	DISP3	DISP3
OG0000694	FBXO2	FBXO2	FBXO2
OG0000695	MAD2L2	MAD2L2	MAD2L2
OG0000696	DRAXIN	DRAXIN	DRAXIN
OG0000697	AGTRAP	AGTRAP	AGTRAP
OG0000698	C1H1orf167	C1orf167	C1H1orf167
OG0000699	MTHFR	MTHFR	MTHFR
OG0000700	CLCN6	CLCN6	CLCN6
OG0000701	NPPA	NPPA	NPPA
OG0000702	KIAA2013	KIAA2013	KIAA2013
OG0000703	PLOD1	PLOD1	PLOD1
OG0000704	MFN2	MFN2	MFN2
OG0000705	MIIP	MIIP	MIIP
OG0000706	TNFRSF8	TNFRSF8	TNFRSF8
OG0000707	TNFRSF1B	TNFRSF1B	TNFRSF1B
OG0000708	LOC107973868		LOC707414, LOC709376
OG0000709	VPS13D	VPS13D	VPS13D
OG0000710	DHRS3	DHRS3	DHRS3
OG0000711	AADACL4	AADACL4	AADACL4
OG0000712	AADACL3	AADACL3	AADACL3
OG0000713	C1H1orf158	C1orf158	C1H1orf158
OG0000714	UBE2J2	UBE2J2	UBE2J2
OG0000715	C1QTNF12	C1QTNF12	C1QTNF12
OG0000716	B3GALT6	B3GALT6	B3GALT6
OG0000717	SDF4	SDF4	SDF4
OG0000718	TNFRSF4	TNFRSF4	TNFRSF4
OG0000719	TNFRSF18	TNFRSF18	TNFRSF18
OG0000720	C1H1orf159	C1orf159	C1H1orf159
OG0000721	RNF223	RNF223	RNF223
OG0000722	AGRN	AGRN	AGRN
OG0000723	ISG15	ISG15	ISG15
OG0000724	HES4	HES4	HES4
OG0000725	PERM1	PERM1	PERM1
OG0000726	PLEKHN1	PLEKHN1	PLEKHN1
OG0000727	KLHL17	KLHL17	KLHL17
OG0000728	NOC2L	NOC2L	NOC2L
OG0000729	SAMD11	SAMD11	SAMD11
OG0000730	LRRC38	LRRC38	LRRC38
OG0000731	PDPN	PDPN	PDPN
OG0000732	PRDM2	PRDM2	PRDM2
OG0000733	KAZN	KAZN	KAZN
OG0000734	TMEM51	TMEM51	TMEM51
OG0000735	FHAD1	FHAD1	FHAD1
OG0000736	DNAJC16	DNAJC16	DNAJC16
OG0000737	AGMAT	AGMAT	AGMAT
OG0000738	DDI2	RSC1A1	LOC695047
OG0000739	PLEKHM2	PLEKHM2	PLEKHM2
OG0000740	SLC25A34	SLC25A34	SLC25A34
OG0000741	TMEM82	TMEM82	TMEM82
OG0000742	FBLIM1	FBLIM1	FBLIM1
OG0000743	LOC107974983	LOC112268444	LOC114676316
OG0000744	SPEN	SPEN	SPEN
OG0000745	ZBTB17	ZBTB17	ZBTB17
OG0000746	SRARP	SRARP	SRARP
OG0000747	HSPB7	HSPB7	HSPB7
OG0000748	EPHA2	EPHA2	EPHA2
OG0000749	CPLANE2	CPLANE2	CPLANE2
OG0000750	FBXO42	FBXO42	FBXO42
OG0000751	SZRD1	SZRD1	SZRD1
OG0000752	SPATA21	SPATA21	SPATA21
OG0000753	NECAP2	NECAP2	NECAP2
OG0000754	MFAP2	MFAP2	MFAP2
OG0000755	ATP13A2	ATP13A2	ATP13A2
OG0000756	SDHB	SDHB	SDHB
OG0000757	PADI2	PADI2	PADI2
OG0000758	PADI1	PADI1	PADI1
OG0000759	PADI3	PADI3	PADI3
OG0000760	PADI4	PADI4	PADI4
OG0000761	PADI6	PADI6	PADI6
OG0000762	RCC2	RCC2	RCC2
OG0000763	ACTL8	ACTL8	ACTL8
OG0000764	IGSF21	IGSF21	IGSF21
OG0000765	KLHDC7A	KLHDC7A	KLHDC7A
OG0000766	TAS1R2	TAS1R2	TAS1R2
OG0000767	ALDH4A1	ALDH4A1	ALDH4A1
OG0000768	IFFO2	IFFO2	IFFO2
OG0000769	UBR4	UBR4	UBR4
OG0000770	EMC1	EMC1	EMC1
OG0000771	MRTO4	MRTO4	MRTO4
OG0000772	PQLC2	SLC66A1	PQLC2
OG0000773	CAPZB	CAPZB	CAPZB
OG0000774	MINOS1	MICOS10	MICOS10
OG0000775	HTR6	HTR6	HTR6
OG0000776	TMCO4	TMCO4	TMCO4
OG0000777	RNF186	RNF186	RNF186
OG0000778	OTUD3	OTUD3	OTUD3
OG0000779	PLA2G2E	PLA2G2E	PLA2G2E
OG0000780	PLA2G2A	PLA2G2A	PLA2G2A
OG0000781	PLA2G5	PLA2G5	PLA2G5
OG0000782	PLA2G2D	PLA2G2D	PLA2G2D
OG0000783	PLA2G2F	PLA2G2F	PLA2G2F
OG0000784	PLA2G2C	PLA2G2C	PLA2G2C
OG0000785	UBXN10	UBXN10	UBXN10
OG0000786	VWA5B1	VWA5B1	VWA5B1
OG0000787	MUL1	MUL1	MUL1
OG0000788	FAM43B	FAM43B	FAM43B
OG0000789	CDA	CDA	CDA
OG0000790	PINK1	PINK1	PINK1
OG0000791	DDOST	DDOST	DDOST
OG0000792	SH2D5	SH2D5	SH2D5
OG0000793	HP1BP3	HP1BP3	HP1BP3
OG0000794	EIF4G3	EIF4G3	EIF4G3
OG0000795	ECE1	ECE1	ECE1
OG0000796	FAM231D, LOC100610419		LOC107000807
OG0000797	ALPL	ALPL	ALPL
OG0000798	RAP1GAP	RAP1GAP	RAP1GAP
OG0000799	LDLRAD2	LDLRAD2	LDLRAD2
OG0000800	HSPG2	HSPG2	HSPG2
OG0000801	ZBTB40	ZBTB40	ZBTB40
OG0000802	EPHA8	EPHA8	EPHA8
OG0000803	C1QA	C1QA	C1QA
OG0000804	C1QB	C1QB	C1QB
OG0000805	LACTBL1	LACTBL1	LACTBL1
OG0000806	TEX46	TEX46	TEX46
OG0000807	KDM1A	KDM1A	KDM1A
OG0000808	LUZP1	LUZP1	LUZP1
OG0000809	HNRNPR	HNRNPR	HNRNPR
OG0000810	ZNF436	ZNF436	ZNF436
OG0000811	TCEA3	TCEA3	TCEA3
OG0000812	RPL11	RPL11	RPL11
OG0000813	ELOA	ELOA	ELOA
OG0000814	PITHD1	PITHD1	PITHD1
OG0000815	LYPLA2	LYPLA2	LYPLA2
OG0000816	HMGCL	HMGCL	HMGCL
OG0000817	FUCA1	FUCA1	FUCA1
OG0000818	CNR2	CNR2	CNR2
OG0000819	PNRC2	PNRC2	PNRC2
OG0000820	MYOM3	MYOM3	MYOM3
OG0000821	IL22RA1	IL22RA1	IL22RA1
OG0000822	IFNLR1	IFNLR1	IFNLR1
OG0000823	STPG1	STPG1	STPG1
OG0000824	NIPAL3	NIPAL3	NIPAL3
OG0000825	NCMAP	NCMAP	NCMAP
OG0000826	SRRM1	SRRM1	SRRM1
OG0000827	SYF2	SYF2	SYF2
OG0000828	MACO1	MACO1	MACO1
OG0000829	LDLRAP1	LDLRAP1	LDLRAP1
OG0000830	MAN1C1	MAN1C1	MAN1C1
OG0000831	SELENON	SELENON	SELENON
OG0000832	MTFR1L	MTFR1L	MTFR1L
OG0000833	AUNIP	AUNIP	AUNIP
OG0000834	PAQR7	PAQR7	PAQR7
OG0000835	STMN1	STMN1	STMN1
OG0000836	PAFAH2	PAFAH2	PAFAH2
OG0000837	EXTL1	EXTL1	EXTL1
OG0000838	PDIK1L	PDIK1L	PDIK1L
OG0000839	LOC112209459	C1orf232	C1H1orf232
OG0000840	ZNF593	ZNF593	ZNF593
OG0000841	CNKSR1	CNKSR1	CNKSR1
OG0000842	CATSPER4	CATSPER4	CATSPER4
